代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score,enrich_score,enrich_notes
003026,中晶科技,47.77,5.5,0.0,0.0,0.0,24553455,118182.2,5.97,1.8,63,60,新浪,2026-04-29 14:16:59,,79.0,16.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线、腾讯买盘偏强56%
002795,永和智控,9.05,4.02,0.0,0.0,0.0,31411124,28349.6,6.59,2.86,67,63,新浪,2026-04-29 14:16:59,,78.0,11.0,同花顺突破5日线、腾讯买盘偏强55%、腾讯尾段成交放大
600884,杉杉股份,16.43,4.25,0.0,0.0,0.0,147127358,238148.9,4.9,1.53,63,60,新浪,2026-04-29 14:16:59,,77.0,14.0,同花顺突破5日线、腾讯买盘占优74%、腾讯尾段成交放大
002340,格林美,9.55,6.94,0.0,0.0,0.0,378449053,349678.8,4.4,2.16,67,63,新浪,2026-04-29 14:16:59,,74.0,7.0,同花顺连续上涨、同花顺突破5日线
002563,森马服饰,6.09,6.47,0.0,0.0,0.0,74024168,44501.8,3.89,2.21,62,59,新浪,2026-04-29 14:16:59,,73.0,11.0,同花顺连续上涨、同花顺突破5日线、腾讯尾段成交放大
601918,新集能源,9.03,3.79,0.0,0.0,0.0,81626302,72467.4,5.18,1.62,63,60,新浪,2026-04-29 14:16:59,,73.0,10.0,同花顺突破5日线、腾讯买盘占优67%
002407,多氟多,35.97,6.55,0.0,0.0,0.0,187610132,655258.7,6.9,1.56,63,60,新浪,2026-04-29 14:16:59,,73.0,10.0,同花顺突破5日线、腾讯买盘占优63%
000782,恒申新材,7.13,3.94,0.0,0.0,0.0,35246600,24872.9,7.35,3.14,65,61,新浪,2026-04-29 14:16:59,,72.0,7.0,同花顺突破5日线、腾讯买盘偏强59%
002266,浙富控股,5.04,5.88,0.0,0.0,0.0,275815949,135083.9,4.68,2.95,67,63,新浪,2026-04-29 14:16:59,,71.0,4.0,同花顺突破5日线
002591,恒大高新,7.6,3.83,0.0,0.0,0.0,9563487,7166.4,2.86,1.52,58,55,新浪,2026-04-29 14:16:59,,71.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
000546,金圆股份,7.38,3.8,0.0,0.0,0.0,80087000,57861.5,5.6,1.67,63,60,新浪,2026-04-29 14:16:59,,71.0,8.0,同花顺突破5日线、腾讯尾段成交放大
002963,豪尔赛,17.45,3.99,0.0,0.0,0.0,8505000,14574.6,4.11,1.67,61,58,新浪,2026-04-29 14:16:59,,71.0,10.0,同花顺量价齐升、同花顺突破5日线
600540,新赛股份,5.07,3.68,0.0,0.0,0.0,16672973,8419.9,2.62,1.63,63,60,新浪,2026-04-29 14:16:59,,70.0,7.0,腾讯买盘偏强59%、腾讯尾段成交放大
603110,东方材料,21.86,3.55,0.0,0.0,0.0,40150066,84529.5,11.02,3.64,60,57,新浪,2026-04-29 14:16:59,,70.0,10.0,同花顺量价齐升、同花顺突破5日线
603156,养元饮品,35.85,4.76,0.0,0.0,0.0,8322398,29273.6,3.35,1.76,63,60,新浪,2026-04-29 14:16:59,,70.0,7.0,同花顺突破5日线、腾讯买盘偏强58%
002798,帝欧水华,7.92,4.35,0.0,0.0,0.0,32139474,25045.3,5.17,1.86,63,60,新浪,2026-04-29 14:16:59,,70.0,7.0,同花顺连续上涨、同花顺突破5日线
000651,格力电器,40.57,5.54,0.0,0.0,0.0,176052644,709723.6,1.14,1.74,56,53,新浪,2026-04-29 14:16:59,,69.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
000636,风华高科,25.39,3.89,0.0,0.0,0.0,103392726,258539.0,3.19,1.37,55,52,新浪,2026-04-29 14:16:59,,68.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
000589,贵州轮胎,5.11,8.03,0.0,0.0,0.0,103870816,52529.5,3.55,3.4,60,57,新浪,2026-04-29 14:16:59,,67.0,7.0,同花顺突破5日线、腾讯买盘偏强61%
603045,福达合金,42.5,6.01,0.0,0.0,0.0,6356236,26235.5,6.67,1.52,63,60,新浪,2026-04-29 14:16:59,,67.0,4.0,同花顺突破5日线
